code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0782539L,MANTES LA JOLIE,LYCEE ST EXUPERY,78361,BIOCH.BIOL,28,80,69,70,86,84,83,85,88,81,373,269,65,70,82,85,86,84
0782539L,MANTES LA JOLIE,LYCEE ST EXUPERY,78361,LETT CLASS,175,80,69,70,86,84,83,85,88,81,373,269,65,70,82,85,86,84
0782546U,POISSY,LYCEE LE CORBUSIER,78498,E. P. S,449,53,79,93,79,91,91,91,95,89,341,279,63,68,83,86,88,90
0782546U,POISSY,LYCEE LE CORBUSIER,78498,PHILO,351.2,53,79,93,79,91,91,91,95,89,341,279,63,68,83,86,88,90
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,LET ESPAGN,258,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,EDUCATION,71,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,LET.HIS.GE,58,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,PHILO,1021,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,S. V. T.,292,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,MATHS,148,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782549X,RAMBOUILLET,LYCEE LOUIS BASCAN (GENERAL ET TECHNO.),78517,ECO.GE.COM,1065,83,100,173,86,93,96,90,96,94,619,552,80,72,89,87,91,92
0782568T,LE VESINET,LYCEE ALAIN,78650,MATHS,285,44,119,174,84,92,93,91,96,97,404,359,76,78,88,91,91,95
0782568T,LE VESINET,LYCEE ALAIN,78650,ESPAGNOL,190,44,119,174,84,92,93,91,96,97,404,359,76,78,88,91,91,95
0782568T,LE VESINET,LYCEE ALAIN,78650,S. V. T.,263,44,119,174,84,92,93,91,96,97,404,359,76,78,88,91,91,95
0782587N,VILLIERS ST FREDERIC,LYCEE VIOLLET-LE-DUC,78683,G.IND.BOIS,42,24,58,86,79,91,90,92,92,93,241,187,74,70,90,89,89,92
0782587N,VILLIERS ST FREDERIC,LYCEE VIOLLET-LE-DUC,78683,BIOCH.BIOL,434.2,24,58,86,79,91,90,92,92,93,241,187,74,70,90,89,89,92
0782587N,VILLIERS ST FREDERIC,LYCEE VIOLLET-LE-DUC,78683,EDUCATION,258,24,58,86,79,91,90,92,92,93,241,187,74,70,90,89,89,92
0782587N,VILLIERS ST FREDERIC,LYCEE VIOLLET-LE-DUC,78683,MATH.SC.PH,101,24,58,86,79,91,90,92,92,93,241,187,74,70,90,89,89,92
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,EDUCATION,97,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,S. V. T.,198,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,SII.SIN,236.2,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,ANGLAIS,225,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,ECO.GE.MK,72,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,PHY.CHIMIE,230,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,MATHS,128,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782822U,LA CELLE ST CLOUD,LYCEE PIERRE CORNEILLE,78126,LET MODERN,472,24,68,100,83,93,88,92,94,92,340,317,72,72,86,88,89,93
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,HIST. GEO.,52,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,ANGLAIS,111,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,PHY.CHIMIE,161,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,ECO.GE.MK,304.2,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,PHILO,210.2,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,ESPAGNOL,118,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0782924E,SARTROUVILLE,LYCEE EVARISTE GALOIS,78586,ECO.GE.FIN,49,47,105,146,91,93,95,88,93,91,559,473,78,70,91,86,91,90
0783140P,ST CYR L ECOLE,LYCEE MANSART,78545,PHY.CHIMIE,209,15,70,93,87,86,95,93,94,93,242,245,77,72,90,88,86,92
0783140P,ST CYR L ECOLE,LYCEE MANSART,78545,ESPAGNOL,204,15,70,93,87,86,95,93,94,93,242,245,77,72,90,88,86,92
0783140P,ST CYR L ECOLE,LYCEE MANSART,78545,ANGLAIS,268,15,70,93,87,86,95,93,94,93,242,245,77,72,90,88,86,92
0783140P,ST CYR L ECOLE,LYCEE MANSART,78545,EDUCATION,128,15,70,93,87,86,95,93,94,93,242,245,77,72,90,88,86,92
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,HIST. GEO.,228,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,ANGLAIS,101,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,ECO.GE.COM,105,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,SII.EE,603,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,ECO.GE.FIN,1586,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,ECO.GE.VEN,71,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,SII.ING.ME,236,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,LET MODERN,138,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910620E,CORBEIL ESSONNES,LYCEE ROBERT DOISNEAU,91174,ECO.GE.MK,335.2,68,82,140,96,83,81,91,86,87,519,505,74,68,83,83,82,84
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,HIST. GEO.,118,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,ECO.GE.COM,389.2,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,ANGLAIS,221,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,MATH.SC.PH,261.2,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,SC.ECO.SOC,161.2,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910621F,DOURDAN,LYCEE FRANCISQUE SARCEY (GENERAL ET TECHNO.),91200,ECO.GE.VEN,69,40,83,123,93,96,97,93,95,94,379,294,78,77,94,90,96,93
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,ANGLAIS,180,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,HIST. GEO.,128,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,PHILO,101,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,LET.HIS.GE,137,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,MATHS,111,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,DOC LYCEES,206,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,ESPAGNOL,111,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,LET MODERN,251,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910622G,ETAMPES,LYCEE GEOFFROY-SAINT-HILAIRE (GENERAL ET TECHNO.),91223,ECO.GE.COM,151,41,96,155,95,83,92,91,88,91,637,533,75,70,86,84,86,89
0910623H,ATHIS MONS,LYCEE MARCEL PAGNOL,91027,LET MODERN,197,25,69,85,92,90,82,88,90,87,332,333,66,67,81,81,84,85
0910623H,ATHIS MONS,LYCEE MARCEL PAGNOL,91027,ECO.GE.COM,21,25,69,85,92,90,82,88,90,87,332,333,66,67,81,81,84,85
0910623H,ATHIS MONS,LYCEE MARCEL PAGNOL,91027,ANGLAIS,279,25,69,85,92,90,82,88,90,87,332,333,66,67,81,81,84,85
