code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0911346U,STE GENEVIEVE DES BOIS,LYCEE ALBERT EINSTEIN,91549,E. P. S,294,40,63,82,90,89,82,84,89,88,341,306,71,71,84,84,84,85
0911346U,STE GENEVIEVE DES BOIS,LYCEE ALBERT EINSTEIN,91549,ANGLAIS,311,40,63,82,90,89,82,84,89,88,341,306,71,71,84,84,84,85
0911492C,LES ULIS,LYCEE L ESSOURIAU (GENERAL ET TECHNO.),91692,SII.ING.ME,479,40,61,102,95,90,87,89,90,89,346,289,80,68,89,84,87,87
0911492C,LES ULIS,LYCEE L ESSOURIAU (GENERAL ET TECHNO.),91692,ANGLAIS,81,40,61,102,95,90,87,89,90,89,346,289,80,68,89,84,87,87
0911492C,LES ULIS,LYCEE L ESSOURIAU (GENERAL ET TECHNO.),91692,LET ESPAGN,78,40,61,102,95,90,87,89,90,89,346,289,80,68,89,84,87,87
0911492C,LES ULIS,LYCEE L ESSOURIAU (GENERAL ET TECHNO.),91692,SII.EE,201,40,61,102,95,90,87,89,90,89,346,289,80,68,89,84,87,87
0911492C,LES ULIS,LYCEE L ESSOURIAU (GENERAL ET TECHNO.),91692,S. V. T.,411,40,61,102,95,90,87,89,90,89,346,289,80,68,89,84,87,87
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,ANGLAIS,111,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,DOC LYCEES,21,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,EDUCATION,141,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,S. V. T.,191,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,PHY.CHIMIE,278,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911577V,LONGJUMEAU,LYCEE JACQUES PREVERT,91345,MATHS,409,23,67,115,96,90,87,90,92,92,348,284,75,75,87,89,89,91
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,ECO.GE.FIN,2056,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,SC.ECO.SOC,88.2,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,PHILO,172,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,MATHS,182,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,HIST. GEO.,173,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911632E,ARPAJON,LYCEE RENE CASSIN,91021,ANGLAIS,207,49,68,139,92,99,95,93,95,92,417,409,83,78,91,89,92,92
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,ANGLAIS,1548,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,HIST. GEO.,145,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,S. V. T.,111,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,LET MODERN,148,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,LET.HIS.GE,58,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,MATHS,507.2,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911828T,COURCOURONNES,LYCEE GEORGES BRASSENS,91182,ECO.GE.MK,548,13,31,51,54,87,65,65,71,62,267,182,53,50,74,70,71,67
0911913K,GIF SUR YVETTE,LYCEE VALLEE DE CHEVREUSE,91272,BIOCH.BIOL,121,33,106,226,82,94,94,96,96,98,446,418,84,79,94,93,93,97
0911913K,GIF SUR YVETTE,LYCEE VALLEE DE CHEVREUSE,91272,MATHS,289,33,106,226,82,94,94,96,96,98,446,418,84,79,94,93,93,97
0911913K,GIF SUR YVETTE,LYCEE VALLEE DE CHEVREUSE,91272,ANGLAIS,201.2,33,106,226,82,94,94,96,96,98,446,418,84,79,94,93,93,97
0911913K,GIF SUR YVETTE,LYCEE VALLEE DE CHEVREUSE,91272,E. P. S,419,33,106,226,82,94,94,96,96,98,446,418,84,79,94,93,93,97
0911927A,EPINAY SOUS SENART,LYCEE MAURICE ELIOT,91215,PHY.CHIMIE,168,16,27,52,88,52,92,74,88,85,175,105,49,65,83,84,81,84
0911927A,EPINAY SOUS SENART,LYCEE MAURICE ELIOT,91215,HIST. GEO.,258,16,27,52,88,52,92,74,88,85,175,105,49,65,83,84,81,84
0911927A,EPINAY SOUS SENART,LYCEE MAURICE ELIOT,91215,ANGLAIS,151,16,27,52,88,52,92,74,88,85,175,105,49,65,83,84,81,84
0911927A,EPINAY SOUS SENART,LYCEE MAURICE ELIOT,91215,BIOCH.BIOL,78,16,27,52,88,52,92,74,88,85,175,105,49,65,83,84,81,84
0911937L,BONDOUFLE,LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),91086,HIST. GEO.,145,22,69,103,86,86,75,87,90,84,327,263,72,70,82,84,80,86
0911937L,BONDOUFLE,LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),91086,S. V. T.,148,22,69,103,86,86,75,87,90,84,327,263,72,70,82,84,80,86
0911937L,BONDOUFLE,LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),91086,ECO.GE.FIN,1895,22,69,103,86,86,75,87,90,84,327,263,72,70,82,84,80,86
0911937L,BONDOUFLE,LYCEE FRANCOIS TRUFFAUT (GENERAL ET TECHNO.),91086,E. P. S,443,22,69,103,86,86,75,87,90,84,327,263,72,70,82,84,80,86
0911938M,PALAISEAU,LYCEE CAMILLE CLAUDEL,91477,LET MODERN,260,20,93,103,95,96,97,93,96,95,244,244,79,79,96,92,96,95
0911938M,PALAISEAU,LYCEE CAMILLE CLAUDEL,91477,MATHS,196,20,93,103,95,96,97,93,96,95,244,244,79,79,96,92,96,95
0911945V,MORANGIS,LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),91432,E. P. S,300.2,14,70,66,36,81,80,85,87,87,167,186,78,74,85,87,77,87
0911945V,MORANGIS,LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),91432,LETT CLASS,372,14,70,66,36,81,80,85,87,87,167,186,78,74,85,87,77,87
0911945V,MORANGIS,LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),91432,ANGLAIS,271,14,70,66,36,81,80,85,87,87,167,186,78,74,85,87,77,87
0911945V,MORANGIS,LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),91432,LET ANGLAI,28,14,70,66,36,81,80,85,87,87,167,186,78,74,85,87,77,87
0911945V,MORANGIS,LYCEE MARGUERITE YOURCENAR (GENERAL ET TECHNO.),91432,LET ESPAGN,192,14,70,66,36,81,80,85,87,87,167,186,78,74,85,87,77,87
0911946W,ST MICHEL SUR ORGE,LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),91570,LET.HIS.GE,278,13,49,57,92,94,91,83,85,89,209,232,69,68,86,81,89,86
0911946W,ST MICHEL SUR ORGE,LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),91570,LET MODERN,216,13,49,57,92,94,91,83,85,89,209,232,69,68,86,81,89,86
0911946W,ST MICHEL SUR ORGE,LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),91570,BIOTECHNOL,21,13,49,57,92,94,91,83,85,89,209,232,69,68,86,81,89,86
0911946W,ST MICHEL SUR ORGE,LYCEE LEONARD DE VINCI (GENERAL ET TECHNO.),91570,MATHS,179,13,49,57,92,94,91,83,85,89,209,232,69,68,86,81,89,86
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,LET MODERN,484.2,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,ANGLAIS,389,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,PHY.CHIMIE,178,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,S. V. T.,178,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,SC.ECO.SOC,1555,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,MATHS,303,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911961M,ARPAJON,LYCEE EDMOND MICHELET,91021,EDUCATION,403.2,42,103,101,88,87,71,80,86,86,397,318,68,64,85,85,81,85
0911962N,MENNECY,LYCEE MARIE LAURENCIN (GENERAL ET TECHNO.),91386,ESPAGNOL,111,26,106,132,77,87,95,89,93,92,399,319,77,73,90,88,88,91
0911962N,MENNECY,LYCEE MARIE LAURENCIN (GENERAL ET TECHNO.),91386,PHILO,132.2,26,106,132,77,87,95,89,93,92,399,319,77,73,90,88,88,91
0911983L,LIMOURS,LYCEE JULES VERNE,91338,LET MODERN,359.2,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0911983L,LIMOURS,LYCEE JULES VERNE,91338,ECO.GE.MK,396.2,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0911983L,LIMOURS,LYCEE JULES VERNE,91338,E. P. S,495,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0911983L,LIMOURS,LYCEE JULES VERNE,91338,MATHS,286,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0911983L,LIMOURS,LYCEE JULES VERNE,91338,HIST. GEO.,21,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0911983L,LIMOURS,LYCEE JULES VERNE,91338,SC.ECO.SOC,128,17,62,87,94,95,93,95,96,95,285,225,79,79,95,91,95,95
0920130S,ANTONY,LYCEE DESCARTES,92002,EDUCATION,261,19,102,148,95,89,95,96,95,96,415,332,80,76,93,90,92,95
0920130S,ANTONY,LYCEE DESCARTES,92002,LETT CLASS,292,19,102,148,95,89,95,96,95,96,415,332,80,76,93,90,92,95
0920130S,ANTONY,LYCEE DESCARTES,92002,ALLEMAND,223,19,102,148,95,89,95,96,95,96,415,332,80,76,93,90,92,95
0920130S,ANTONY,LYCEE DESCARTES,92002,LET MODERN,384.2,19,102,148,95,89,95,96,95,96,415,332,80,76,93,90,92,95
0920131T,ASNIERES SUR SEINE,LYCEE AUGUSTE RENOIR,92004,ESPAGNOL,220,46,85,108,85,89,77,87,80,82,381,340,71,66,88,83,85,83
0920131T,ASNIERES SUR SEINE,LYCEE AUGUSTE RENOIR,92004,MATHS,111,46,85,108,85,89,77,87,80,82,381,340,71,66,88,83,85,83
0920131T,ASNIERES SUR SEINE,LYCEE AUGUSTE RENOIR,92004,PHY.CHIMIE,141.2,46,85,108,85,89,77,87,80,82,381,340,71,66,88,83,85,83
0920132U,BOIS COLOMBES,LYCEE ALBERT CAMUS,92009,HIST. GEO.,251,67,134,164,88,85,96,92,91,95,446,364,72,76,89,90,92,93
0920132U,BOIS COLOMBES,LYCEE ALBERT CAMUS,92009,LET MODERN,1935.2,67,134,164,88,85,96,92,91,95,446,364,72,76,89,90,92,93
0920132U,BOIS COLOMBES,LYCEE ALBERT CAMUS,92009,LETT CLASS,199,67,134,164,88,85,96,92,91,95,446,364,72,76,89,90,92,93
0920132U,BOIS COLOMBES,LYCEE ALBERT CAMUS,92009,S. V. T.,141,67,134,164,88,85,96,92,91,95,446,364,72,76,89,90,92,93
0920132U,BOIS COLOMBES,LYCEE ALBERT CAMUS,92009,E. P. S,358,67,134,164,88,85,96,92,91,95,446,364,72,76,89,90,92,93
0920134W,BOULOGNE BILLANCOURT,LYCEE JACQUES PREVERT,92012,E. P. S,327,36,62,66,89,76,88,91,87,88,313,270,64,65,79,85,85,88
0920134W,BOULOGNE BILLANCOURT,LYCEE JACQUES PREVERT,92012,ANGLAIS,161,36,62,66,89,76,88,91,87,88,313,270,64,65,79,85,85,88
0920134W,BOULOGNE BILLANCOURT,LYCEE JACQUES PREVERT,92012,PHY.CHIMIE,290,36,62,66,89,76,88,91,87,88,313,270,64,65,79,85,85,88
0920134W,BOULOGNE BILLANCOURT,LYCEE JACQUES PREVERT,92012,ESPAGNOL,197,36,62,66,89,76,88,91,87,88,313,270,64,65,79,85,85,88
0920134W,BOULOGNE BILLANCOURT,LYCEE JACQUES PREVERT,92012,ECO.GE.FIN,288,36,62,66,89,76,88,91,87,88,313,270,64,65,79,85,85,88
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,ANGLAIS,173,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,ECO.GE.COM,76,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,PHILO,548.2,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,E. P. S,316,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,LET MODERN,389,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,ESPAGNOL,199,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920135X,CHATENAY MALABRY,LYCEE EMMANUEL MOUNIER,92019,SC.ECO.SOC,217,17,31,60,88,97,90,92,88,94,229,215,58,69,79,85,89,90
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,PHY.CHIMIE,352,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,LETT CLASS,266.2,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,SC.ECO.SOC,258,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,ANGLAIS,182,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,SII.EE,28,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,ESPAGNOL,210,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,E. P. S,118,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,MATHS,111,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920136Y,CLICHY,LYCEE NEWTON-ENREA (GENERAL ET TECHNO.),92024,S. V. T.,178,20,53,83,90,87,77,85,87,87,300,186,51,59,78,82,79,85
0920137Z,COLOMBES,LYCEE GUY DE MAUPASSANT,92025,MATHS,211,30,58,54,80,79,76,83,78,77,409,348,61,56,74,73,73,75
0920137Z,COLOMBES,LYCEE GUY DE MAUPASSANT,92025,ANGLAIS,138,30,58,54,80,79,76,83,78,77,409,348,61,56,74,73,73,75
0920137Z,COLOMBES,LYCEE GUY DE MAUPASSANT,92025,HIST. GEO.,218.2,30,58,54,80,79,76,83,78,77,409,348,61,56,74,73,73,75
0920137Z,COLOMBES,LYCEE GUY DE MAUPASSANT,92025,ESPAGNOL,223,30,58,54,80,79,76,83,78,77,409,348,61,56,74,73,73,75
0920138A,COURBEVOIE,LYCEE PAUL LAPIE,92026,MATHS,111,49,102,117,84,82,91,87,94,95,441,356,69,72,84,87,82,92
0920138A,COURBEVOIE,LYCEE PAUL LAPIE,92026,EDUCATION,244,49,102,117,84,82,91,87,94,95,441,356,69,72,84,87,82,92
0920138A,COURBEVOIE,LYCEE PAUL LAPIE,92026,SC.ECO.SOC,1600,49,102,117,84,82,91,87,94,95,441,356,69,72,84,87,82,92
0920138A,COURBEVOIE,LYCEE PAUL LAPIE,92026,HIST. GEO.,334,49,102,117,84,82,91,87,94,95,441,356,69,72,84,87,82,92
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,ECO.GE.MK,100,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,ITALIEN,370.2,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,HIST. GEO.,228,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,DOC LYCEES,71,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,LET MODERN,389.2,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,ANGLAIS,118,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,E. P. S,101,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,ECO.GE.COM,126,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,MATHS,118,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920141D,NANTERRE,LYCEE JOLIOT-CURIE,92050,ESPAGNOL,225,33,71,55,58,51,75,82,64,61,336,287,51,53,65,70,66,70
0920142E,NEUILLY SUR SEINE,LYCEE LOUIS PASTEUR,92051,SC.ECO.SOC,460,18,68,139,100,97,99,94,98,98,280,243,87,78,97,93,98,98
0920142E,NEUILLY SUR SEINE,LYCEE LOUIS PASTEUR,92051,LETT CLASS,443,18,68,139,100,97,99,94,98,98,280,243,87,78,97,93,98,98
0920143F,NEUILLY SUR SEINE,LYCEE LA FOLIE SAINT JAMES,92051,MATHS,291.2,13,64,87,77,78,92,85,89,91,215,164,59,61,81,85,85,90
0920143F,NEUILLY SUR SEINE,LYCEE LA FOLIE SAINT JAMES,92051,PHILO,1180,13,64,87,77,78,92,85,89,91,215,164,59,61,81,85,85,90
0920145H,SCEAUX,LYCEE LAKANAL,92071,EDUCATION,186,20,94,197,100,98,98,97,98,98,346,340,86,79,94,93,98,97
0920145H,SCEAUX,LYCEE LAKANAL,92071,PHY.CHIMIE,1693,20,94,197,100,98,98,97,98,98,346,340,86,79,94,93,98,97
0920146J,SCEAUX,LYCEE MARIE CURIE,92071,ALLEMAND,366.2,53,93,161,100,96,99,97,97,98,381,334,82,78,95,92,98,97
0920146J,SCEAUX,LYCEE MARIE CURIE,92071,LET MODERN,456,53,93,161,100,96,99,97,97,98,381,334,82,78,95,92,98,97
0920146J,SCEAUX,LYCEE MARIE CURIE,92071,DOC LYCEES,245.2,53,93,161,100,96,99,97,97,98,381,334,82,78,95,92,98,97
0920146J,SCEAUX,LYCEE MARIE CURIE,92071,S. V. T.,495.2,53,93,161,100,96,99,97,97,98,381,334,82,78,95,92,98,97
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,MATHS,111,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,HIST. GEO.,263,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,ALLEMAND,230,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,ECO.GE.MK,209,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,PHY.CHIMIE,185,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,DOC LYCEES,135,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,BIOCH.BIOL,78,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920147K,SURESNES,LYCEE PAUL LANGEVIN,92073,ECO.GE.FIN,1806.2,47,59,106,98,90,95,92,97,96,341,364,76,73,88,88,91,94
0920149M,VANVES,LYCEE MICHELET,92075,E. P. S,312,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,SII.ING.ME,31,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,PHY.CHIMIE,240,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,ALLEMAND,358,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,ANGLAIS,299.2,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,S. V. T.,227,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,MATHS,464,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920149M,VANVES,LYCEE MICHELET,92075,LET MODERN,1127,70,103,171,94,98,95,95,97,97,491,349,70,72,95,93,96,97
0920798T,MEUDON,LYCEE RABELAIS,92048,HIST. GEO.,180,29,86,138,93,92,92,94,94,93,305,244,64,67,88,88,92,94
0920798T,MEUDON,LYCEE RABELAIS,92048,SC.ECO.SOC,1058,29,86,138,93,92,92,94,94,93,305,244,64,67,88,88,92,94
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,DOC LYCEES,31,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,ESPAGNOL,248,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,ALLEMAND,241,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,MATHS,348,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,LET MODERN,446.2,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,SII.ING.ME,28,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920799U,RUEIL MALMAISON,LYCEE RICHELIEU,92063,PHILO,588.2,53,192,328,94,96,97,96,97,97,713,681,77,77,92,93,96,97
0920801W,ST CLOUD,LYCEE ALEXANDRE DUMAS,92064,MATHS,197,33,151,227,94,89,96,94,96,98,511,459,82,79,91,91,94,96
0920801W,ST CLOUD,LYCEE ALEXANDRE DUMAS,92064,HIST. GEO.,1807.2,33,151,227,94,89,96,94,96,98,511,459,82,79,91,91,94,96
0920801W,ST CLOUD,LYCEE ALEXANDRE DUMAS,92064,DOC LYCEES,71,33,151,227,94,89,96,94,96,98,511,459,82,79,91,91,94,96
0920801W,ST CLOUD,LYCEE ALEXANDRE DUMAS,92064,PHY.CHIMIE,1628,33,151,227,94,89,96,94,96,98,511,459,82,79,91,91,94,96
0920801W,ST CLOUD,LYCEE ALEXANDRE DUMAS,92064,ANGLAIS,230,33,151,227,94,89,96,94,96,98,511,459,82,79,91,91,94,96
0920802X,SEVRES,LYCEE JEAN-PIERRE VERNANT,92072,ANGLAIS,180,68,106,203,94,92,92,95,98,96,518,469,83,79,93,91,92,96
0920802X,SEVRES,LYCEE JEAN-PIERRE VERNANT,92072,ESPAGNOL,260,68,106,203,94,92,92,95,98,96,518,469,83,79,93,91,92,96
0920802X,SEVRES,LYCEE JEAN-PIERRE VERNANT,92072,SC.ECO.SOC,246.2,68,106,203,94,92,92,95,98,96,518,469,83,79,93,91,92,96
0920802X,SEVRES,LYCEE JEAN-PIERRE VERNANT,92072,LET MODERN,1709,68,106,203,94,92,92,95,98,96,518,469,83,79,93,91,92,96
0920802X,SEVRES,LYCEE JEAN-PIERRE VERNANT,92072,S. V. T.,453,68,106,203,94,92,92,95,98,96,518,469,83,79,93,91,92,96
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,MATHS,118.2,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,ALLEMAND,237,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,HIST. GEO.,318.2,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,PHY.CHIMIE,117,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,LET ESPAGN,71,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,SII.ING.ME,1960,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,ECO.GE.CPT,120,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921230M,LEVALLOIS PERRET,LYCEE LEONARD DE VINCI,92044,ANGLAIS,270,25,101,146,80,96,91,91,94,94,404,421,75,69,86,85,88,91
0921399W,MONTROUGE,LYCEE MAURICE GENEVOIX,92049,ECO.GE.MK,287.2,34,70,67,68,79,81,85,83,83,355,232,57,63,73,80,72,82
0921399W,MONTROUGE,LYCEE MAURICE GENEVOIX,92049,MATHS,162,34,70,67,68,79,81,85,83,83,355,232,57,63,73,80,72,82
